Feature,Importance
Glucose,0.2904876928276937
BMI_Age_Product,0.1675733265070664
BMI,0.10851091582610722
BloodPressure,0.07001383617847913
Age,0.06450909953044884
Log_DiabetesPedigreeFunction,0.05528049194782849
SkinThickness,0.0532669961721097
Glucose_to_Insulin_Ratio,0.046025318270396624
Pregnancies,0.045222445847618496
Insulin,0.03474356704135504
DiabetesPedigreeFunction,0.027872118845413414
Log_Insulin,0.021614990871038405
Has_High_BP,0.014879200134444402
Has_High_Glucose,0.0
Has_High_BMI,0.0
