Feature,Importance,Std
Glucose,0.2765342960288809,0.012936081492540729
BMI_Age_Product,0.15740072202166064,0.010487970430566042
BMI,0.12418772563176894,0.010914235709625266
Age,0.08104693140794222,0.008969139529822997
SkinThickness,0.07635379061371841,0.011671597949694735
Log_DiabetesPedigreeFunction,0.07274368231046928,0.009518986912227594
Pregnancies,0.06588447653429602,0.007496952944871904
BloodPressure,0.06498194945848375,0.007354349742766553
DiabetesPedigreeFunction,0.06480144404332128,0.005956678700361026
Glucose_to_Insulin_Ratio,0.05379061371841152,0.00961265484165658
Insulin,0.043682310469314076,0.004762059912733903
Log_Insulin,0.028700361010830323,0.006276295541773909
Has_High_BP,0.003068592057761721,0.0014097923602719295
Has_High_Glucose,0.0,0.0
Has_High_BMI,0.0,0.0
