Feature,SHAP_Importance
Glucose,0.1886545182015154
BMI_Age_Product,0.09964766196092642
BMI,0.08671896379167929
Age,0.042506080151956185
BloodPressure,0.0348941588385415
Log_DiabetesPedigreeFunction,0.0316345340229976
SkinThickness,0.03111926024524907
DiabetesPedigreeFunction,0.03045335104032862
Insulin,0.02436831666255022
Glucose_to_Insulin_Ratio,0.023494091079402035
Pregnancies,0.020250877766247042
Log_Insulin,0.01649241640684098
Has_High_BP,0.006840049956761184
Has_High_Glucose,0.0
Has_High_BMI,0.0
