Feature,Importance,Std
Glucose,0.08862815884476535,0.00800964178062591
BMI_Age_Product,0.03916967509025271,0.008194627770986404
BMI,0.0351985559566787,0.003807765904283215
Age,0.019675090252707594,0.002731542590328793
Has_High_Glucose,0.012635379061371844,0.002421734271660415
Pregnancies,0.012635379061371844,0.0026773279736807378
Log_DiabetesPedigreeFunction,0.011913357400722024,0.0027015576799811793
DiabetesPedigreeFunction,0.011913357400722014,0.001840801268445027
BloodPressure,0.009386281588447653,0.0023946749388847606
SkinThickness,0.009386281588447653,0.002254511912779205
Glucose_to_Insulin_Ratio,0.005956678700361007,0.0014097923602719423
Log_Insulin,0.005595667870036092,0.0017028846808766298
Insulin,0.005415162454873645,0.0013981889336488638
Has_High_BMI,0.0028880866425993077,0.00144404332129964
Has_High_BP,0.0,0.0
